场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
咸阳太平镇充电站,陕西省,咸阳市,泾阳县,太平镇南广场,李一睿,5a:68:b6:66:aa:ac," 89860440192390023498",1号桩,168.55.4.118,160kw/1-4
湖前便民充电站,福建省,泉州市,德化县,西侧约140米,陈渊杰,c6:6e:71:95:55:49," 898608331924D0858299",1号桩,168.55.2.245,160kw/1-4
湖前便民充电站,福建省,泉州市,德化县,西侧约140米,陈渊杰,82:19:7d:5f:f2:05," 898608331924D0856095",3号桩,168.55.5.41,160kw/1-4
范场160kw快充站,江苏省,宿迁市,沭阳县,范场村沭李线（范场村村民委员会）,刘召美,82:31:7d:92:2a:da," 898608331924D0855128",1号桩,168.55.3.85,160kw/1-4
山东省威海市环翠区黄泥沟村广场,山东省,威海市,环翠区,山东省威海市环翠区黄泥沟村,王祥宇,5a:d5:89:24:a0:6d," 898608331924D0855921",1号桩,168.55.5.35,160kw/1-4
山西太原鑫诚利2期超充站,山西省,太原市,小店区,小牛线山西鑫诚利2期超充站,王文忠,62:0c:0b:a9:fa:33," 898608331924D0855123",1号桩,168.55.4.200,160kw/1-4
山西太原鑫诚利2期超充站,山西省,太原市,小店区,小牛线山西鑫诚利2期超充站,王文忠,fa:e2:0f:0f:39:3c," 898608331924D0854435",2号桩,168.55.5.231,160kw/1-4
宿州快豹刘圩充电站,安徽省,宿州市,,刘圩镇刘圩大闸北,周超,1e:9e:ff:30:0e:fc," 89860440192390023735",1号桩,168.55.1.76,160kw/1-4
亿事达二号充电站,新疆维吾尔自治区,昌吉回族自治州,昌吉市,新疆维吾尔自治区昌吉回族自治州昌吉市绿洲路街道屯河路新天地商务港,赵民章,b2:19:bd:3d:ab:38," 898608331924D0855116",1号桩,168.55.1.75,160kw/1-4
公牛河南驻马店西平亨通充电站,河南省,驻马店市,西平县,西平,姬铭阳,3e:69:0a:b6:e1:e6," 89860440192390022579",1号桩,168.55.6.89,320kw
大理德成吊装充电站400kw站,云南省,大理白族自治州,大理市,下关街道德成吊装,雷野,16:01:95:8c:e4:26," 898608331924D0854386",1号桩,168.55.4.137,400kw
大理德成吊装充电站400kw站,云南省,大理白族自治州,大理市,下关街道德成吊装,雷野,0e:0c:b6:aa:32:a9," 898608331924D0854387",2号桩,168.55.5.92,400kw
山西晋中软云能源（美家美超市充电站）,山西省,晋中市,,西关正街1号,王文忠,0e:33:38:ff:21:01," 898604F7192392293356",1号桩,168.55.5.77,160kw/1-4
庞西村庞西组充电站,陕西省,西安市,,代王街道庞西村,刘文坤,6e:b4:9d:0c:e5:4d," 898604F7192392295864",1号桩,168.55.3.221,120kw
归仁160kW快充,江苏省,宿迁市,泗洪县,归仁镇445乡道诚德家园小区,刘召美,fa:1f:5d:b1:1c:f3," 898608331924D0853961",1号桩,168.55.0.238,160kw/1-4
灵璧县马集快速充电站,安徽省,宿州市,灵璧县,马集村委会警务中心充电站,周超,3a:2b:e5:ad:99:61," 898608331924D0855937",1号桩,168.55.3.226,160kw/1-4
金利来超市充电站,山东省,潍坊市,寒亭区,大家洼街道石桥村,王祥宇,4e:11:82:e0:e0:95," 898607B11924C0334831",1号桩,168.55.0.120,160kw/1-4
睿趣九集琪宇航工艺超充站,湖北省,襄阳市,南漳县,九集镇305省道湖北琪宇航纺织工艺品有限公司工厂门口停车场,何东山,0e:bd:60:c4:70:0f," 89860440192390022572",1号桩,168.55.4.190,160kw/1-4
公牛河南郑州巩义市幸源充电站,河南省,郑州市,巩义市,巩义市建业路与铝电路交叉路口东侧,姬铭阳,2a:44:e2:b8:e0:08," 898608331924D0855057",1号桩,168.55.2.30,160kw/1-4
公牛河南郑州巩义市幸源充电站,河南省,郑州市,巩义市,巩义市建业路与铝电路交叉路口东侧,姬铭阳,96:fc:47:66:d6:d2," 898608331924D0856158",2号桩,168.55.3.191,160kw/1-4
山东省德州市京源石化加油站充电站,山东省,德州市,,京源石化加油站充电站,王祥宇,3e:fe:66:6f:06:00," 898608331924D0855113",1号桩,168.55.3.15,160kw/1-4
浙江湖州安吉五福安置区充电站,浙江省,湖州市,安吉县,五福村委,包拯,ae:93:6a:0c:aa:56," 898608331924D0854437",1号桩,168.55.3.125,160kw/1-4
公牛雪山充电站,四川省,巴中市,通江县,公牛雪山充电站,廖洋,52:ae:60:d6:37:a5," 898607B11924C0334151",1号桩,168.55.4.191,160kw/1-4
云南昆明云居寻甸金世纪充电站,云南省,昆明市,寻甸回族彝族自治县,仁德镇风梧路63号寻甸金世纪大酒店,尹文泽,aa:22:69:aa:cd:ca," 898607B11924C0335392",1号桩,168.55.1.248,160kw/1-4
龙州上龙天琴充电站,广西壮族自治区,崇左市,龙州县,龙州县上龙天琴,蓝汝唯,e2:ef:1e:9b:ca:c3," 898607B11924C0342204",1号桩,168.55.6.138,160kw/1-4
新庄大桥西南电信局南停车场公牛充电站,甘肃省,天水市,,天水南站停车场F1,陈为,d2:c7:fc:ff:ff:43," 898608331924D0855056",1号桩,168.55.1.154,160kw/1-4
中国铁塔山东聊城阳谷侨润物流园充电站,山东省,聊城市,阳谷县,阳谷县侨润物流园,曹灿,f2:36:35:af:b3:19," 898604F7192392295783",5号桩,168.55.0.206,320kw
中国铁塔山东聊城阳谷侨润物流园充电站,山东省,聊城市,阳谷县,阳谷县侨润物流园,曹灿,4e:84:00:ff:03:3f," 898604F7192392295769",4号桩,168.55.3.65,320kw
中国铁塔山东聊城阳谷侨润物流园充电站,山东省,聊城市,阳谷县,阳谷县侨润物流园,曹灿,52:02:73:40:e0:78," 898604F7192392295771",1号桩,168.55.4.56,320kw
中国铁塔山东聊城阳谷侨润物流园充电站,山东省,聊城市,阳谷县,阳谷县侨润物流园,曹灿,d2:6a:58:3e:7f:47," 898604F7192392295768",2号桩,168.55.1.247,320kw
中国铁塔山东聊城阳谷侨润物流园充电站,山东省,聊城市,阳谷县,阳谷县侨润物流园,曹灿,6a:bf:25:b5:4b:af," 898604F7192392295770",3号桩,168.55.2.71,320kw
台江重卡站,贵州省,黔东南苗族侗族自治州,台江县,台拱街道秀眉大道265号 地良民宿村,杜天天,de:49:f0:8e:ab:fc," 898604F7192392295940",1号桩,168.55.5.80,320kw
觅电超充站（醒群站）,广东省,佛山市,禅城区,广东省佛山市禅城区南庄镇村头东便二街醒群员工村东北侧约160米,潘工,aa:66:2d:35:3e:2b," 898604F7192392293745",1号桩,168.55.3.132,160kw/1-4
"	特想来迪汽车充电站（鑫海浴馆充电桩）",黑龙江省,哈尔滨市,巴彦县,西集镇鑫海浴馆,赵世震,7e:1f:d9:c0:c0:e1," 898607B11924C0338999",1号桩,168.55.4.150,160kw/1-4
山东省青岛市西海岸新区藏马镇大学生创新创业中心站,山东省,青岛市,,204国道宇056县道交叉口,王祥宇,ee:59:a6:f3:3f:e7," 898608331924D0853965",1号桩,168.55.0.196,160kw/1-4
山西太原蜂巢绿动快充站,山西省,太原市,小店区,刘家堡乡金龙石化加油站出口,王文忠,a6:3e:94:aa:70:56," 898608331924D0855043",1号桩,168.55.1.89,160kw/1-4
东城家园160KW超级充电站,江苏省,宿迁市,宿豫区,大兴镇宿豫区大兴镇吉庆社区党群服务中心东城家园,刘召美,ba:40:64:9a:5a:55," 898604F7192392293715",1号桩,168.55.1.157,160kw/1-4
祥运重卡充电站,陕西省,商洛市,商州区,陕西省商洛市柞水县G211与红卫路交叉口正西方向116米左右,赵家良,7a:9d:da:55:36:e5," 898607B11924C0336936",3号桩,168.55.4.95,320kw
祥运重卡充电站,陕西省,商洛市,商州区,陕西省商洛市柞水县G211与红卫路交叉口正西方向116米左右,赵家良,1a:df:f1:08:57:2a," 898607B11924C0336935",0号桩,168.55.2.100,320kw
祥运重卡充电站,陕西省,商洛市,商州区,陕西省商洛市柞水县G211与红卫路交叉口正西方向116米左右,赵家良,3a:15:b0:e6:b2:00," 898607B11924C0336938",1号桩,168.55.1.132,320kw
祥运重卡充电站,陕西省,商洛市,商州区,陕西省商洛市柞水县G211与红卫路交叉口正西方向116米左右,赵家良,7e:22:0f:ce:66:00," 898607B11924C0336929",2号桩,168.55.0.198,320kw
祥运重卡充电站,陕西省,商洛市,商州区,陕西省商洛市柞水县G211与红卫路交叉口正西方向116米左右,赵家良,8a:7e:e3:31:a8:e0," 898607B11924C0336934",5号桩,168.55.3.90,320kw
祥运重卡充电站,陕西省,商洛市,商州区,陕西省商洛市柞水县G211与红卫路交叉口正西方向116米左右,赵家良,6e:78:fc:9f:7f:6e," 898607B11924C0336857",4号桩,168.55.4.201,320kw
铜川聚能新能源检测重卡充电站,陕西省,铜川市,王益区,王益区经济技术开发区检测院内,杜祥,66:80:80:00:9f:e0," 898608331924D0855055",2号桩,168.55.5.221,400kw
铜川聚能新能源检测重卡充电站,陕西省,铜川市,王益区,王益区经济技术开发区检测院内,杜祥,52:63:4f:ff:f6:33," 898608331924D0856383",6号桩,168.55.2.144,400kw
铜川聚能新能源检测重卡充电站,陕西省,铜川市,王益区,王益区经济技术开发区检测院内,杜祥,ae:d2:27:56:fc:66," 898608331924D0856390",3号桩,168.55.0.41,400kw
铜川聚能新能源检测重卡充电站,陕西省,铜川市,王益区,王益区经济技术开发区检测院内,杜祥,26:77:d2:5a:60:56," 898608331924D0856386",1号桩,168.55.4.220,400kw
铜川聚能新能源检测重卡充电站,陕西省,铜川市,王益区,王益区经济技术开发区检测院内,杜祥,e6:da:e3:78:fe:cc," 89860464192570040455",4号桩,168.55.2.106,400kw
铜川聚能新能源检测重卡充电站,陕西省,铜川市,王益区,王益区经济技术开发区检测院内,杜祥,22:1e:de:5b:58:0f," 898608411924D1249478",5号桩,168.55.5.224,400kw
明澜出行徐州吴桥社区充电站,江苏省,徐州市,睢宁县,吴桥社区,刘召美,22:60:35:f1:e6:8b," 898607B11924C0338274",1号桩,168.55.0.146,160kw/1-4
民勤县重兴镇充电站,甘肃省,武威市,民勤县,甘肃省武威市民勤县重兴镇,陈为,56:9c:8d:0f:ad:c0," 898607B11924C0342201",0号桩,168.55.0.67,160kw/1-4
中安共创郑州上街林溪郡充电站,河南省,郑州市,上街区,林溪郡,姬铭阳,da:0c:71:f0:8f:b1," 89860440192390023608",1号桩,168.55.0.197,160kw/1-4
公牛河南省洛阳市花园小区1期快速充电站,河南省,洛阳市,涧西区,河南省洛阳市花园小区1期快速充电站1,姬铭阳,86:ba:5f:95:a7:7f," 898607B11924C0334173",2号桩,168.55.2.78,160kw/1-4
公牛河南省洛阳市花园小区1期快速充电站,河南省,洛阳市,涧西区,河南省洛阳市花园小区1期快速充电站1,姬铭阳,1e:33:03:ca:38:ce," 898607B11924C0334171",1号桩,168.55.0.65,160kw/1-4
大连开发区宜宁里小区连锁充电站,辽宁省,大连市,普兰店区,宜宁里小区,赵世震,e2:77:00:5c:70:ce," 898608331924D0855044",1号桩,168.55.1.45,160kw/1-4
扬州仪征丰君广场,江苏省,扬州市,仪征市,江苏省扬州市仪征市南辅道梅园苑西侧约150米,殷昊,d6:19:5d:95:e7:27," 898607B11924C0337783",1号桩,168.55.1.99,160kw/1-4
铁塔云南楚雄永仁108国道重卡充电站,云南省,楚雄彝族自治州,永仁县,108国道滇川牧业大门口处,尹文泽,d2:71:e4:01:ca:03," 898607B11924C0337869",1号桩,168.55.3.151,400kw
铁塔云南楚雄永仁108国道重卡充电站,云南省,楚雄彝族自治州,永仁县,108国道滇川牧业大门口处,尹文泽,1e:35:92:b2:00:94," 898607B11924C0337871",2号桩,168.55.2.228,400kw
铁塔云南楚雄永仁108国道重卡充电站,云南省,楚雄彝族自治州,永仁县,108国道滇川牧业大门口处,尹文泽,46:e5:0f:0e:e1:ef," 898607B11924C0337866",3号桩,168.55.6.112,400kw
铁塔云南楚雄永仁108国道重卡充电站,云南省,楚雄彝族自治州,永仁县,108国道滇川牧业大门口处,尹文泽,16:61:cc:05:d9:95," 898607B11924C0337874",4号桩,168.55.6.113,400kw
铁塔云南楚雄永仁108国道重卡充电站,云南省,楚雄彝族自治州,永仁县,108国道滇川牧业大门口处,尹文泽,22:63:55:86:c0:ff," 898607B11924C0337873",5号桩,168.55.0.162,400kw
山东智充长山镇苑城站（滨州红太阳）,山东省,滨州市,惠民县,邹平市苑城社区,王祥宇,7a:6a:a6:4e:1b:a5," 898608331924D0857439",1235号桩,168.55.2.194,160kw/1-4
鄂尔多斯个人充电桩充电站,内蒙古自治区,鄂尔多斯市,准格尔旗,准格尔旗,梁燕波,2e:be:41:c0:1a:5e," 898604F7192392293765",1号桩,168.55.1.125,120kw
公牛充电阜阳市临泉县平楼超级充电站,安徽省,阜阳市,临泉县,艾亭镇318省道,周超,da:e4:38:24:01:1d," 89860440192390023733",1号桩,168.55.4.176,160kw/1-4
洪城充-广昌公牛驿前快充站,江西省,抚州市,广昌县,驿前镇桐斜村民委员会,王渊,16:fb:16:99:75:a2," 898607B11924C0334159",1号桩,168.55.4.240,160kw/1-4
光复路充电站,黑龙江省,佳木斯市,向阳区,光复路1457号,赵世震,b6:53:54:6a:db:7b," 898604F7192392297636",1号桩,168.55.2.160,160kw/1-4
云居隆兴公寓南区快充站,浙江省,嘉兴市,南湖区,马塘路87号 隆兴公寓南区,包拯,3e:db:0d:ff:ae:e1," 898607B11924C0338980",0号桩,168.55.5.193,160kw/1-4
四川福瑞路桥有限公司充电站,四川省,绵阳市,三台县,四川福瑞路桥有限公司充电站,王黎,36:ff:ce:a0:6e:d6," 898608331924D0853969",1号桩,168.55.1.91,160kw/1-4
天台艾木酒店充电站,浙江省,台州市,天台县,赤城街道天桐路艾木酒店,谢小刚,0a:23:55:13:0f:2b," 898608331924D0854023",1号桩,168.55.1.28,120kw
山西晋中灵石县  金麒麟大酒店充电站,山西省,晋中市,灵石县,灵石县金麒麟大酒店充电站,王文忠,82:85:bc:c6:9c:27," 898608331924D0854099",1号桩,168.55.5.199,120kw
鑫牛白马山景区充电站,重庆市,市辖区,武隆区,武隆区白马寺景区停车场,潘琪,9e:12:06:7f:07:67," 898608331924D0855954",1号桩,168.55.3.247,160kw/1-4
陕西省西安市户县蒋村镇叶寨村,陕西省,西安市,鄠邑区,陕西省西安市户县蒋村镇叶寨村;甘曹路与108省道路口南96米,李一睿,56:c1:12:53:25:ad," 898608331924D0853977",1号桩,168.55.3.18,120kw
四川省成都市大邑县蔡场镇蔡场村站,四川省,成都市,大邑县,蔡场镇蔡场村;中心街与龙巷街路口西北554米,王黎,ea:79:f8:03:0f:01," 898607B11924C0335387",1号桩,168.55.4.141,160kw/1-4
悦充达盐都盐塘家园南门东小桔充电站,江苏省,盐城市,盐都区,江苏省盐城市盐都区新都街道都市豪庭9幢;盐城路与盐渎路路口东141米,殷昊,4e:07:e1:fc:3f:9a," 898608331924D0856119",1号桩,168.55.1.212,160kw/1-4
利泰社区停车场充电站,江苏省,苏州市,太仓市,新北西路附近,赖钟城,ba:1b:99:d3:3f:a7," 898607B11924C0334153",0号桩,168.55.2.28,160kw/1-4
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,e6:01:99:c0:c7:8f," 898608331924D0854165",9号桩,168.55.3.228,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,ce:b1:ec:80:25:b6," 898608331924D0854162",2号桩,168.55.2.87,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,66:d2:24:95:93:e9," 898608331924D0854167",7号桩,168.55.5.173,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,aa:ea:fd:ac:2d:b9," 898608331924D0854166",6号桩,168.55.2.72,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,66:3b:7c:fe:83:6a," 898608331924D0854169",10号桩,168.55.0.148,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,d6:10:b2:aa:a2:ad," 898608331924D0854164",3号桩,168.55.1.207,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,ae:08:74:98:0e:aa," 898608331924D0854170",4号桩,168.55.4.4,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,d6:a2:16:1e:79:fe," 898608331924D0854163",5号桩,168.55.5.191,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,76:51:ce:73:a7:20," 898608331924D0854168",8号桩,168.55.1.147,400kw
山西河津绿动未来鑫光大道充电站,山西省,运城市,河津市,绿动未来鑫光大道充电站,王文忠,52:54:01:4c:33:93," 898608331924D0853936",1号桩,168.55.3.60,400kw
临高森林公安充电站,海南省,省直辖县级行政区划,临高县,临高县临城镇二环路,符焕相,6e:05:cc:cc:e4:03," 898608331924D0854956",1号桩,168.55.3.211,160kw/1-4
安充石鼻公路驿站,江西省,南昌市,安义县,石鼻公路驿站,王渊,d2:46:b1:19:bf:87," 898608331924D0854359",1号桩,168.55.6.83,160kw/1-4
西安周至终南镇希望原汤牛肉店充电站,陕西省,西安市,周至县,终南镇,杜祥,3a:b3:7b:00:0a:38," 898608331924D0853976",1号桩,168.55.6.58,120kw
石圪塔村充电站,陕西省,延安市,宝塔区,陕西省延安市宝塔区交通雅苑西北50米处,校子越,da:66:ff:3f:6b:3e,,1号桩,168.55.1.47,160kw/1-4
潍坊青州东智能充电站,山东省,潍坊市,青州市,青州充电站,王祥宇,12:1e:74:b5:f3:03," 898607B11924C0338204",1号桩,168.55.0.219,160kw/1-4
潍坊青州东智能充电站,山东省,潍坊市,青州市,青州充电站,王祥宇,3e:29:9a:55:0d:5b," 898607B11924C0338203",2号桩,168.55.2.105,160kw/1-4
山东临工临沂市东午门村充电站,山东省,临沂市,平邑县,丰阳镇东午门村村委会,,1e:05:55:a9:9b:19," 898604F7192392295429",1号桩,168.55.0.17,320kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,9e:ef:39:c1:d5:77," 898608331924D0855099",8号桩,168.55.4.219,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,7a:81:40:a9:56:86," 898608331924D0854797",9号桩,168.55.4.254,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,62:69:b5:ad:dd:49," 89860324452010451725",2号桩,168.55.3.71,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,c6:be:f4:66:26:c6," 89861124221033242654",3号桩,168.55.0.249,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,e6:32:76:f2:7c:5b," 89860324452010451857",4号桩,168.55.0.86,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,02:6e:4a:cc:b4:ca," 89861124221033242647",1号桩,168.55.2.130,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,4e:69:ae:6d:76:c3," 89861124221033242639",6号桩,168.55.5.58,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,96:9a:64:93:23:53," 89861124221033242613",7号桩,168.55.4.22,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,4a:c6:2d:53:4f:3d," 89861124221033242662",11号桩,168.55.1.220,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,6a:44:7f:76:76:b3," 89861124221033242621",12号桩,168.55.3.246,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,12:d3:77:fe:78:3f," 898607B11924C0337852",5号桩,168.55.0.153,400kw
山东济宁祺远商贸重卡充电站,山东省,济宁市,,邹城市太平镇褀远能源加油站邹城市晟恒商贸有限公司,王祥宇,aa:f9:a8:a9:98:5f," 898607B11924C0337853",10号桩,168.55.0.164,400kw
哈尔滨市永财充电站,黑龙江省,哈尔滨市,双城区,X150与变压器路交叉路口东侧,赵世震,b6:67:56:b2:cc:95," 898608331924D0857485",2号桩,168.55.5.186,160kw/1-4
哈尔滨市永财充电站,黑龙江省,哈尔滨市,双城区,X150与变压器路交叉路口东侧,赵世震,ae:27:1c:7f:41:7f," 898604F7192392293627",4号桩,168.55.2.112,160kw/1-4
哈尔滨市永财充电站,黑龙江省,哈尔滨市,双城区,X150与变压器路交叉路口东侧,赵世震,4a:4e:67:b2:e5:aa," 898604F7192392293631",3号桩,168.55.1.213,160kw/1-4
哈尔滨市永财充电站,黑龙江省,哈尔滨市,双城区,X150与变压器路交叉路口东侧,赵世震,f6:90:95:cb:d5:c0," 898604F7192392293397",1号桩,168.55.0.115,160kw/1-4
永春莱梦思充电站,福建省,泉州市,永春县,福建省泉州市永春县莱梦思充电站,陈渊杰,a2:c9:17:00:3f:f0," 898608331924D0854940",1号桩,168.55.4.28,160kw/1-4
公牛河南信阳光山上岗加油站充电站,河南省,信阳市,光山县,河南信阳光山上岗加油站充电站,姬铭阳,f2:01:3c:b3:d5:0c," 898607B11924C0335413",1号桩,168.55.6.100,160kw/1-4
太仓市沙溪镇涂松社区,江苏省,苏州市,太仓市,太仓市沙溪镇涂松社区,赖钟城,26:d8:c2:26:4f:f9," 898607B11924C0334155",0号桩,168.55.5.20,160kw/1-4
河北宁晋公牛充电桩星充快充站,河北省,邢台市,宁晋县,宁晋县农村产权交易中心公牛充电桩星充快充站,张立波,e6:6d:9f:b0:ff:e5," 898608331924D0856173",1号桩,168.55.2.6,160kw/1-4
太仓新闯村村委会便民服务充电站,江苏省,苏州市,太仓市,闯和路与共和新路交叉口东100米,赖钟城,0a:83:6c:93:25:d2," 898608331924D0854139",1号桩,168.55.1.242,160kw/1-4
安吉德奥建设充电站,浙江省,湖州市,安吉县,安吉德奥建设充电站,包拯,26:f4:19:cc:1a:96," 898607B11924C0337799",1号桩,168.55.4.86,160kw/1-4
青岛鑫浩盛源充电站,山东省,青岛市,李沧区,青岛市李沧区瑞金路19-25号,王祥宇,46:14:e6:61:d6:cc," 898607B11924C0334987",1号桩,168.55.4.210,160kw
青岛鑫浩盛源充电站,山东省,青岛市,李沧区,青岛市李沧区瑞金路19-25号,王祥宇,66:03:d9:c6:a6:d4," 898607B11924C0334985",2号桩,168.55.2.42,160kw
春江花园上马墩路160KW超级充电站,江苏省,无锡市,锡山区,江苏省无锡市锡山区东亭街道上马墩路353号 春江花园,,52:36:b1:1e:ab:0d," 898608331924D0853980",1号桩,168.55.1.36,160kw/1-4
春江花园上马墩路160KW超级充电站,江苏省,无锡市,锡山区,江苏省无锡市锡山区东亭街道上马墩路353号 春江花园,,62:13:24:73:1f:00," 898608331924D0853949",2号桩,168.55.5.142,160kw/1-4
宝马格常州工程机械有限公司,江苏省,常州市,新北区,博帕路66号,赖钟城,b6:70:e3:32:67:80," 898604F7192392293312",1号桩,168.55.1.26,160kw/1-4
周至哑柏镇终南大道全喜百货超市充电站,陕西省,西安市,周至县,哑柏镇全喜百货超市,杜祥,9a:c4:55:09:53:fe," 898604F7192392297607",1号桩,168.55.4.199,120kw
山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,山东省,青岛市,胶州市,山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,王祥宇,8e:3d:1f:07:c6:fc," 898608331924D0854021",1号桩,168.55.3.4,120kw
山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,山东省,青岛市,胶州市,山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,王祥宇,62:5c:1f:6f:8f:ff," 898608331924D0854020",2号桩,168.55.4.167,120kw
山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,山东省,青岛市,胶州市,山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,王祥宇,82:79:aa:05:c7:3f," 898607B11924C0334095",3号桩,168.55.3.130,160kw/1-4
山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,山东省,青岛市,胶州市,山东省青岛市胶州市洋河镇S311国道泰和嘉苑充电站,王祥宇,2a:5e:55:35:ec:3c," 898608331924D0856157",4号桩,168.55.5.84,160kw/1-4
鸿博医院停车场充电站,四川省,南充市,南部县,四川省南充市南部县一环路83号鸿博医院停车场,廖洋,6a:65:e2:fa:aa:aa," 898607B11924C0337789",1号桩,168.55.2.243,160kw/1-4
晋江锦丰路站,福建省,泉州市,晋江市,锦丰路上方公寓旁,陈渊杰,26:3a:c3:03:c8:e0," 898607B11924C0342431",1号桩,168.55.3.6,160kw/1-4
席楼小区充电站,安徽省,亳州市,涡阳县,安徽省亳州市涡阳县席楼小区东南边停车位,周超,36:cb:cc:8f:78:01," 89860440192390023475",1号桩,168.55.0.114,160kw/1-4
山西晋中软云能源（美宝售楼充电站）,山西省,晋中市,太谷区,西关正街与康源南路交叉口,王文忠,2e:5a:cc:99:e7:70," 898604F7192392293359",1号桩,168.55.0.250,160kw/1-4
鑫牛北碚丽锦紫园充电站,重庆市,市辖区,北碚区,嘉运大道77号,潘琪,a2:e4:68:6b:4b:a5," 898608331924D0854960",1号桩,168.55.3.19,160kw/1-4
飞天酒店充电站,陕西省,西安市,周至县,飞天酒店,杜祥,72:ee:f7:7c:2d:ad," 898604F7192392295851",1号桩,168.55.0.149,120kw
鑫荔源充电站,陕西省,渭南市,大荔县,陕西省渭南市大荔县城关镇谷多村口东30米鑫荔源充电站,赵友鑫,aa:00:e0:a9:f6:13," 898608331924D0856527",1号桩,168.55.5.89,400kw
宝鸡120充电站,陕西省,宝鸡市,渭滨区,兴浦路33号,倪磊,,,1号桩,168.55.6.137,120kw
内蒙古通辽开鲁县小街基镇北充电站,内蒙古自治区,通辽市,科尔沁区,开鲁县小街基镇北,贾鹏乐,b2:e0:fa:d6:12:55," 898608331924D0854879",1号桩,168.55.2.229,160kw/1-4
山西吕梁 中阳县宏兴充电站,山西省,吕梁市,中阳县,中阳县宏兴充电站,王文忠,0a:8b:dc:3f:de:00," 898607B11924C0338093",1号桩,168.55.0.182,160kw/1-4
禹王亭公牛超充站,山东省,德州市,禹城市,恒昌门业有限公司,曹灿,fa:3b:7f:95:98:c8," 898607B11924C0333613",1号桩,168.55.4.136,160kw/1-4
湘湖淘大站,江西省,景德镇市,珠山区,景德镇湘湖淘大,王渊,c2:93:52:dc:3a:00," 898607B11924C0333591",1号桩,168.55.5.208,160kw/1-4
四川省绵阳市平武县黄羊关藏族乡站,四川省,绵阳市,平武县,黄羊关藏族乡曙光村,王黎,66:97:25:9f:b5:b2," 898607B11924C0334496",1号桩,168.55.5.39,320kw
乐海新能源下雷连心桥领充充电站,广西壮族自治区,崇左市,大新县,下雷镇219国道,蓝汝唯,76:fb:33:65:55:9b," 898607B11924C0334092",1号桩,168.55.6.33,160kw/1-4
镇宁县城市生活垃圾卫生填埋场重卡充电站,贵州省,安顺市,镇宁布依族苗族自治县,城市生活垃圾卫生填埋场,杜天天,a2:0e:6e:9a:68:1a," 89861124241081335887",2号桩,168.55.6.119,320kw
