场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
云快充外寨重卡充电站,贵州省,毕节市,金沙县,云快充超级充电站(金沙外寨重卡充电站）,杜天天,ce:94:07:83:6a:43," 898604F7192392293744",7号桩,168.55.1.98,320kw
云快充外寨重卡充电站,贵州省,毕节市,金沙县,云快充超级充电站(金沙外寨重卡充电站）,杜天天,b2:f2:f5:f8:fc:31," 898608331924D0857473",10号桩,168.55.2.116,320kw
云快充外寨重卡充电站,贵州省,毕节市,金沙县,云快充超级充电站(金沙外寨重卡充电站）,杜天天,86:5f:80:60:f0:0e," 898604F7192392293764",5号桩,168.55.4.251,320kw
云快充外寨重卡充电站,贵州省,毕节市,金沙县,云快充超级充电站(金沙外寨重卡充电站）,杜天天,ee:ba:f7:b0:ac:3e," 898608331924D0856927",4号桩,168.55.1.72,320kw
云快充外寨重卡充电站,贵州省,毕节市,金沙县,云快充超级充电站(金沙外寨重卡充电站）,杜天天,3e:c2:00:47:cf:3d," 898608331924D0857519",6号桩,168.55.1.111,320kw
山东临工临沂临沭连胜洗砂厂充电站,山东省,临沂市,临沭县,玉山石材二期第四排临沭连胜洗砂厂,曹灿,ee:ba:f7:b0:ac:3e," 898608331924D0856927",1号桩,168.55.1.72,320kw
临湘现代物流重卡充电站,湖南省,岳阳市,临湘市,长安街道三湾工业园现代物流中心院内,成志宏,4e:56:32:aa:53:49," 898607B11924C0333579",1号桩,168.55.5.246,320kw
临湘现代物流重卡充电站,湖南省,岳阳市,临湘市,长安街道三湾工业园现代物流中心院内,成志宏,4a:f1:56:f8:4a:3f," 898607B11924C0334186",2号桩,168.55.0.82,320kw
临湘现代物流重卡充电站,湖南省,岳阳市,临湘市,长安街道三湾工业园现代物流中心院内,成志宏,be:c9:cb:aa:07:e7," 898608331924D0856605",4号桩,168.55.0.46,320kw
临湘现代物流重卡充电站,湖南省,岳阳市,临湘市,长安街道三湾工业园现代物流中心院内,成志宏,22:02:03:03:80:1f," 898608331924D0856126",5号桩,168.55.0.49,320kw
临湘现代物流重卡充电站,湖南省,岳阳市,临湘市,长安街道三湾工业园现代物流中心院内,成志宏,76:55:4d:6d:cd:07," 898607B11924C0333610",3号桩,168.55.3.162,320kw
眀澜出行宝鸡营头村村委会充电站,陕西省,宝鸡市,陈仓区,营头村村委会,李一睿,ba:06:c5:67:87:53,,1号桩,168.55.6.60,160kw/1-4
睿趣石花镇杨溪湾超充站,湖北省,襄阳市,,石花镇杨溪湾村退役军人服务站,何东山,96:5b:4f:64:cf:e7," 89860440192390022634",1号桩,168.55.3.92,160kw/1-4
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,52:17:ab:4d:ac:66," 898607B11924C0334290",4号桩,168.55.2.145,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,f6:ab:b7:39:89:f8," 898607B11924C0334276",3号桩,168.55.5.236,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,b2:69:cd:6d:b7:d5," 898607B11924C0334285",2号桩,168.55.5.250,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,16:68:fd:1e:98:68," 898607B11924C0334387",1号桩,168.55.1.56,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,b2:1e:23:9c:07:7d," 898607B11924C0336908",5号桩,168.55.5.127,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,72:0d:8a:24:fc:b6," 898607B11924C0336906",6号桩,168.55.1.6,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,56:3d:34:b9:ff:19," 898607B11924C0338399",7号桩,168.55.6.104,400kw
韩城龙门钢厂,陕西省,渭南市,韩城市,龙门镇钢厂,赵友鑫,06:ec:e1:46:93:80," 898607B11924C0337021",8号桩,168.55.4.205,400kw
新庄清溪人家二期-公牛充电站,江苏省,无锡市,宜兴市,新庄新东路123号,赖钟城,1a:ca:cb:83:ea:ca," 898608331924D0855121",1号桩,168.55.1.1,160kw/1-4
云居运港家宴中心停车场快充站,浙江省,嘉兴市,平湖市,云居运港家宴中心停车场快充站,包拯,42:b9:ff:63:6e:2b," 898607B11924C0334922",1号桩,168.55.2.10,160kw/1-4
